;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;
NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg
6312;campbell's red  white crm of asparagus soup cond;89,0000;1,6100;1,6130;5,6500;7,2600;2,4000;1,6100;0,0000;0,0000;0,0000;0,0000;56,0000;669,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
28000;kellogg's eggo mini muffin tops choc chip;300,0000;5,2000;3,5000;11,2000;45,0000;1,2000;18,5000;217,0000;3,9000;18,0000;351,0000;84,0000;582,0000;0,5000;0,0000;0,0000;0,0000;0,0000;0,3300;0,3700;4,3000;0,4300;0,0000;1,3000;326,0000;0,0000;0,1000
10877;pork cured ham  h2o product rump bone-in ln htd rstd;131,0000;21,2800;1,5360;4,7000;1,1500;0,0000;1,1500;10,0000;0,8700;19,0000;221,0000;264,0000;1267,0000;2,0800;0,0890;0,0220;43,4000;0,0000;0,3300;0,1880;4,0400;0,3350;2,0000;0,4900;11,0000;0.21;0,0000
8615;cereals rte kellogg's crunchy nut golden honey nut flakes;385,0000;6,7000;0,6000;3,9000;83,3000;2,4000;33,5000;20,0000;14,5000;24,0000;62,0000;137,0000;442,0000;0,6000;0,0000;0,0000;0,0000;20,0000;1,2100;1,3700;16,1000;1,6100;28,0000;4,8000;0,0000;0,0000;3,3000
42289;oil corn and canola;884,0000;0,0000;8,0260;100,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;14.84;0,0000
C022;gogu leaves  green ;36,3280;1,8600;0,2450;1,0900;4,0600;4,5900;0,0100;145,0000;7,6500;83.09;41,9900;260,0000;12,3400;0,6500;0,2300;2,0300;2,3800;29,6500;0,1300;0,0600;0,5800;0,3300;74,9400;0,0000;856,0000;0,0000;0,0043
11158;chrysanthemum garland ckd bld drnd wosalt;20,0000;1,6400;0,0220;0,0900;4,3100;2,3000;2,0100;69,0000;3,7400;18,0000;43,0000;569,0000;53,0000;0,2000;0,1330;0,3550;0,3000;23,9000;0,0210;0,1600;0,7200;0,1180;50,0000;0,0000;129,0000;2.5;0,0000
3100;babyfood veg carrots jr;32,0000;0,8000;0,0360;0,2000;7,2000;1,7000;3,1600;23,0000;0,3900;11,0000;20,0000;202,0000;49,0000;0,1800;0,0470;0,0000;0,2000;5,5000;0,0240;0,0410;0,4970;0,0800;17,0000;0,0000;591,0000;0.52;0,0000
17403;lamb nz imp hind-shank ln  fat ckd brsd;247,0000;29,5900;5,4050;14,2200;0,0400;0,0000;0,0000;8,0000;1,9900;21,0000;170,0000;249,0000;69,0000;4,9500;0,1440;0,0100;8,4000;0,0000;0,0390;0,2230;4,1330;0,0990;0,0000;1,5000;8,0000;0.57;0,1000
