;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;;;
;;NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;6312;campbell's red  white crm of asparagus soup cond;89;2;2;6;7;2;2;0;0;0;0;56;669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;28000;kellogg's eggo mini muffin tops choc chip;300;5;4;11;45;1;19;217;4;18;351;84;582;1;0;0;0;0;0;0;4;0;0;1;326;0;0;;
;;10877;pork cured ham  h2o product rump bone-in ln htd rstd;131;21;2;5;1;0;1;10;1;19;221;264;1267;2;0;0;43;0;0;0;4;0;2;0;11;0.21;0;;
;;8615;cereals rte kellogg's crunchy nut golden honey nut flakes;385;7;1;4;83;2;34;20;15;24;62;137;442;1;0;0;0;20;1;1;16;2;28;5;0;0;3;;
;;42289;oil corn and canola;884;0;8;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.84;0;;
;;C022;gogu leaves  green ;36;2;0;1;4;5;0;145;8;83.09;42;260;12;1;0;2;2;30;0;0;1;0;75;0;856;0;0;;
;;11158;chrysanthemum garland ckd bld drnd wosalt;20;2;0;0;4;2;2;69;4;18;43;569;53;0;0;0;0;24;0;0;1;0;50;0;129;2.5;0;;
;;3100;babyfood veg carrots jr;32;1;0;0;7;2;3;23;0;11;20;202;49;0;0;0;0;6;0;0;0;0;17;0;591;0.52;0;;
;;17403;lamb nz imp hind-shank ln  fat ckd brsd;247;30;5;14;0;0;0;8;2;21;170;249;69;5;0;0;8;0;0;0;4;0;0;2;8;0.57;0;;
;;28350;cookies choc crm covered biscuit stks;447;10;13;23;51;5;25;50;1;36;184;181;213;1;0;0;15;0;0;0;1;0;17;0;1;8.87;0;;
;;11579;vegetables mxd cnd solliquids;36;1;0;0;7;4;0;21;1;15;37;138;224;1;0;0;0;4;0;0;0;0;18;0;0;0;0;;
;;6974;soup veg chick cnd prep w h2o lo na;69;5;1;2;9;0;1;11;1;4;44;153;35;1;0;0;5;2;0;0;1;0;16;0;138;0.3;0;;
;;17012;"lamb dom leg whl (shksirl) lnfat 14""fat choic ckd rstd";258;26;7;16;0;0;0;11;2;24;191;313;66;4;0;0;27;0;0;0;7;0;20;3;0;0.15;0;;
;;28316;bread wheat sprouted;188;13;0;0;34;5;3;0;2;66;176;198;474;1;0;0;30;0;0;0;2;0;0;0;0;0.34;0;;
;;4591;fish oil menhaden;902;0;30;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;6454;campbell's chunky soups grilled steak- steak chili w bns;81;7;0;1;11;3;4;16;1;0;0;0;355;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
;;P034;mackerel;101;22;1;2;0;0;0;31;1;37.46;231;309;83;1;0;0;64;0;0;0;3;100;713;0;0;0.71;0;;
;;10089;pork frsh spareribs lnfat ckd brsd;397;29;11;30;0;0;0;47;2;24;261;320;93;5;0;0;37;0;0;0;5;0;4;1;3;0.34;3;;
;;27054;dip tostitos salsa con queso med;133;3;2;8;12;1;1;90;0;7;177;88;773;0;0;0;3;1;0;0;0;0;0;0;33;1.92;0;;
;;11677;shallots raw;72;3;0;0;17;3;8;37;1;21;60;334;12;0;0;0;1;8;0;0;0;0;34;0;0;0.04;0;;
;;28209;mother's taffy sndwch cookies;475;4;10;20;70;2;41;0;2;15;49;121;324;1;0;0;0;0;0;0;2;0;0;0;0;0;0;;
;;13963;"beef chuck mock tender steak ln 0"" fat sel ckd brld";157;26;2;5;0;0;0;7;3;23;217;293;68;8;0;0;25;0;0;0;4;0;8;3;0;0.16;0;;
;;6054;campbell's red  white chick alphabet soup cond;56;2;0;1;10;1;1;0;0;0;0;659;381;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
;;10044;pork frsh loin cntr rib (chops or roasts) bone-in lnfat raw;186;20;2;11;0;0;0;25;1;23;203;337;56;2;0;0;36;0;0;0;6;1;0;1;2;0.12;1;;
;;23552;"beef chuck clod rst ln  fat 0"" fat all grds ckd rstd";207;26;4;11;0;0;0;7;3;21;212;367;71;6;0;0;29;0;0;0;3;0;9;3;0;0.16;0;;
;;19153;candies nestle after eight mints;432;2;8;12;80;2;67;13;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;23352;"beef rnd eye of rd steak bnless l  f 0"" ft choic ck grlled";163;30;2;5;0;0;0;17;2;16;286;419;67;4;0;0;29;0;0;0;9;1;5;2;4;0.33;0;;
;;23424;beef nz imp var meats  by-products liver ckd bld;150;23;1;5;4;0;0;4;7;21;397;336;55;3;6;328;16;0;0;3;14;0;0;96;21014;1.28;0;;
;;23037;"beef chuck shldr clod top  cntr  stk ln  fat 0"" fat ch raw";143;20;2;6;0;0;0;4;2;24;212;347;61;5;0;0;30;0;0;0;5;1;7;4;0;0.18;0;;
;;8512;cereals malt-o-meal choc prep w h2o wo salt;47;1;0;0;9;0;2;49;6;4;16;32;1;0;0;0;0;0;0;0;3;0;0;0;0;0.27;0;;
;;3942;inf formula  mead johns  enfami  ar lipil  rtf w ara  dha;68;2;1;3;8;0;6;53;1;5;36;74;27;1;0;0;2;8;0;0;1;0;0;0;58;0.62;1;;
;;43125;beans liq from stwd kidney bns;47;2;1;3;3;0;0;13;2;37;88;408;2;0;0;0;1;0;0;0;0;0;33;0;0;0;0;;
;;3061;babyfood dinner vegham str;59;2;1;2;8;2;1;16;0;12;33;141;16;0;0;0;2;2;0;0;1;0;3;0;144;0.31;0;;
;;19355;syrups sorghum;290;0;0;0;75;0;75;150;4;100;56;1000;8;0;0;2;2;0;0;0;0;1;0;0;0;0;0;;
;;23363;"beef rnd eye of rnd steak bnless ln 0"" fat all grds raw";121;23;1;3;0;0;0;13;1;12;222;319;53;3;0;0;23;0;0;0;7;1;4;2;2;0.24;0;;
;;28252;sunshine cheez-it scrabble jr crackers;466;11;5;17;68;3;1;0;5;18;75;115;612;0;0;0;0;0;1;0;5;0;0;0;117;0;0;;
;;42259;snacks popcorn home-prepared oil-popped unsalted;500;9;5;28;58;10;1;10;3;108;250;225;3;3;0;0;7;0;0;0;2;0;17;0;8;2.43;0;;
;;16124;soy sau made from soy (tamari);60;11;0;0;6;1;2;20;2;40;130;212;5586;0;0;0;1;0;0;0;4;0;18;0;0;0;0;;
;;17265;"lamb nz imp frz shdr whl (armbld) ln  fat 18"" ckd brsd";342;29;12;24;0;0;0;27;2;18;200;151;52;5;0;0;4;0;0;0;6;0;1;3;0;0;0;;
;;17248;"lamb dom shldr arm lnfat 18""fat ckd brld";269;25;8;18;0;0;0;18;2;27;200;314;78;5;0;0;28;0;0;0;7;0;19;3;0;0;0;;
;;18354;strudel apple;274;3;2;11;41;2;26;15;0;9;33;149;135;0;0;0;6;2;0;0;0;0;6;0;6;1.42;0;;
;;7029;ham sliced reg (approx 11 fat);163;17;3;9;4;1;0;24;1;22;153;287;1143;1;0;1;21;4;1;0;3;0;7;0;0;0.08;1;;
;;6449;soup pea grn cnd prep w eq volume h2o;61;3;1;1;10;2;3;12;1;15;47;71;336;1;0;0;4;1;0;0;0;0;1;0;3;0.09;0;;
;;23080;"beef chuck eye steak bnless ln 0"" fat all grds raw";153;21;3;8;0;0;0;15;2;22;202;371;70;8;0;0;23;0;0;0;5;0;3;3;2;0.17;0;;
;;A005;jowar;334;10;0;2;68;10;1;28;4;133;274;328;5;2;0;1;26;0;0;0;2;0;39;0;1;0.06;0;;
;;20628;wheat flr white (industrial) 10 prot bleached enr;366;10;0;1;76;2;0;20;5;25;107;149;2;1;0;1;15;0;1;0;6;0;31;0;0;0.05;0;;
;;23501;usda commodity bf patties wvpp frz ckd;247;16;6;17;8;1;0;39;4;49;235;325;66;8;0;0;15;0;0;0;4;0;17;3;16;0;0;;
;;10949;pork frsh loin tp ln (chps) bnlss ln  ft w added sln raw;171;19;3;10;0;0;0;9;0;21;244;489;251;1;0;0;43;0;0;0;7;0;0;1;0;0.2;0;;
;;1287;yogurt greek pln lowfat;73;10;1;2;4;0;4;115;0;11;137;141;34;1;0;0;12;1;0;0;0;0;12;1;90;0.04;0;;
